ITEM 	TC 	 	BIN 	 	 	HEX 
1	6980368.0	11010101000001100010000	0x6a8310
2	5517055.0	10101000010111011111111	0x542eff
3	1336159.0	101000110001101011111	0x14635f
4	6750185.0	11001101111111111101001	0x66ffe9
5	1771937.0	110110000100110100001	0x1b09a1
6	360952.0	1011000000111111000	0x581f8
7	5672561.0	10101101000111001110001	0x568e71
8	916583.0	11011111110001100111	0xdfc67
9	2700138.0	1010010011001101101010	0x29336a
10	9645053.0	100100110010101111111101	0x932bfd
11	1181110.0	100100000010110110110	0x1205b6
12	1492185.0	101101100010011011001	0x16c4d9
13	4018595.0	1111010101000110100011	0x3d51a3
14	7654888.0	11101001100110111101000	0x74cde8
15	7062453.0	11010111100001110110101	0x6bc3b5
16	2478010.0	1001011100111110111010	0x25cfba
17	6134768.0	10111011001101111110000	0x5d9bf0
18	8420417.0	100000000111110001000001	0x807c41
19	2917489.0	1011001000010001110001	0x2c8471
20	3340773.0	1100101111100111100101	0x32f9e5
21	1115956.0	100010000011100110100	0x110734
22	9172192.0	100010111111010011100000	0x8bf4e0
23	6271996.0	10111111011001111111100	0x5fb3fc
24	8686939.0	100001001000110101011011	0x848d5b
25	50986.0	1100011100101010	0xc72a
26	9376410.0	100011110001001010011010	0x8f129a
27	5962327.0	10110101111101001010111	0x5afa57
28	7686891.0	11101010100101011101011	0x754aeb
29	6615183.0	11001001111000010001111	0x64f08f
30	1864844.0	111000111010010001100	0x1c748c
31	3329962.0	1100101100111110101010	0x32cfaa
32	3942794.0	1111000010100110001010	0x3c298a
33	2614836.0	1001111110011000110100	0x27e634
34	7406772.0	11100010000010010110100	0x7104b4
35	2384190.0	1001000110000100111110	0x24613e
36	398347.0	1100001010000001011	0x6140b
37	8698503.0	100001001011101010000111	0x84ba87
38	9551696.0	100100011011111101010000	0x91bf50
39	1019556.0	11111000111010100100	0xf8ea4
40	1677430.0	110011001100001110110	0x199876
41	3479629.0	1101010001100001001101	0x35184d
42	9309008.0	100011100000101101010000	0x8e0b50
43	5266170.0	10100000101101011111010	0x505afa
44	4094340.0	1111100111100110000100	0x3e7984
45	1754055.0	110101100001111000111	0x1ac3c7
46	5861132.0	10110010110111100001100	0x596f0c
47	4471329.0	10001000011101000100001	0x443a21
48	8826052.0	100001101010110011000100	0x86acc4
49	7469325.0	11100011111100100001101	0x71f90d
50	1973172.0	111100001101110110100	0x1e1bb4
51	53145.0	1100111110011001	0xcf99
52	3897508.0	1110110111100010100100	0x3b78a4
53	7773386.0	11101101001110011001010	0x769cca
54	6089829.0	10111001110110001100101	0x5cec65
55	4223424.0	10000000111000111000000	0x4071c0
56	9761752.0	100101001111001111011000	0x94f3d8
57	7930799.0	11110010000001110101111	0x7903af
58	3597495.0	1101101110010010110111	0x36e4b7
59	9302948.0	100011011111001110100100	0x8df3a4
60	2288712.0	1000101110110001001000	0x22ec48
